SNo.,Date,LTP,%Change,High,Low,Open,Qty,Turnover

1,2018/12/30,351.00,-2.23,359.00,351.00,359.00,"11,317","35,100.00"
2,2018/12/27,359.00,-0.83,365.00,358.00,362.00,"36,773","13,261,233.00"
3,2018/12/26,362.00,2.55,362.00,352.00,353.00,"22,157","102,446.00"
4,2018/12/25,353.00,-1.12,357.00,351.00,357.00,"8,383","52,800.00"
5,2018/12/24,357.00,0,362.00,352.00,357.00,"14,350","3,570.00"
6,2018/12/23,357.00,2.29,362.00,349.00,349.00,"16,974","35,700.00"
7,2018/12/20,349.00,1.75,351.00,343.00,343.00,"14,032","349,000.00"
8,2018/12/19,343.00,-0.29,345.00,342.00,344.00,"3,717","34,300.00"
9,2018/12/18,344.00,-3.1,355.00,343.00,355.00,"10,127","383,560.00"
10,2018/12/17,355.00,3.2,355.00,340.00,344.00,"5,225","31,595.00"
11,2018/12/16,344.00,1.78,344.00,338.00,338.00,"18,570","68,800.00"
12,2018/12/13,338.00,0.3,345.00,335.00,337.00,"5,226","17,238.00"
13,2018/12/12,337.00,0.3,341.00,336.00,336.00,990,"6,740.00"
14,2018/12/11,336.00,0.3,339.00,333.00,335.00,"3,705","153,888.00"
15,2018/12/10,335.00,0,340.00,330.00,335.00,"5,830","16,750.00"
16,2018/12/09,335.00,2.45,335.00,327.00,327.00,"2,982","10,050.00"
17,2018/12/06,327.00,-0.61,331.00,320.00,329.00,"8,394","6,540.00"
18,2018/12/04,334.00,1.21,335.00,326.00,330.00,"2,973","34,402.00"
19,2018/12/03,330.00,-0.9,335.00,329.00,333.00,"9,202","6,600.00"
20,2018/12/02,333.00,-1.48,338.00,329.00,338.00,"9,756","9,990.00"
21,2018/11/29,338.00,-0.59,340.00,336.00,340.00,"6,964","33,800.00"
22,2018/11/28,340.00,0,340.00,339.00,340.00,"2,677","16,320.00"
23,2018/11/27,340.00,0.29,346.00,338.00,339.00,"5,914","6,120.00"
24,2018/11/26,339.00,-0.6,341.05,335.00,341.05,"5,374","16,950.00"
25,2018/11/25,341.00,-0.87,345.00,341.00,344.00,"8,678","34,200.00"
26,2018/11/22,344.00,0.29,345.00,340.00,343.00,"6,445","6,880.00"
27,2018/11/21,343.00,-1.15,353.00,342.00,347.00,"6,780","15,092.00"
28,2018/11/20,347.00,0.29,349.00,342.00,346.00,"2,001","34,700.00"
29,2018/11/19,346.00,0.29,347.00,344.00,345.00,"5,455","19,722.00"
30,2018/11/18,345.00,-1.15,349.00,343.00,349.00,"6,006","20,760.00"
31,2018/11/15,349.00,-0.29,351.00,348.00,350.00,"5,701","1,993,336.00"
32,2018/11/14,350.00,0.29,352.00,349.00,349.00,"1,763","617,198.00"
33,2018/11/05,349.00,0.29,352.00,348.00,348.00,"10,438","3,650,890.00"
34,2018/11/04,348.00,-1.14,353.00,348.00,350.00,"15,056","5,270,630.00"
35,2018/11/01,352.00,0,352.00,350.00,350.00,"6,758","2,373,720.00"
36,2018/10/31,352.00,0,355.00,350.00,359.00,"9,391","3,301,580.00"
37,2018/10/30,352.00,0.57,354.00,348.00,349.00,"11,760","4,125,180.00"
38,2018/10/29,350.00,-0.85,351.00,348.00,350.00,"8,152","2,848,360.00"
39,2018/10/28,353.00,-1.12,355.00,350.00,355.00,"11,851","4,169,350.00"
40,2018/10/25,357.00,-0.28,358.00,355.00,358.00,"5,436","1,935,650.00"
41,2018/10/24,358.00,0,358.00,353.00,355.00,"3,065","1,090,910.00"
42,2018/10/23,358.00,0.85,358.00,354.00,355.00,"6,474","2,298,040.00"
43,2018/10/22,355.00,0,355.00,352.00,355.00,"3,196","1,132,140.00"
44,2018/10/21,355.00,0.28,361.00,355.00,361.00,"3,483","1,241,370.00"
45,2018/10/15,354.00,-0.84,364.00,354.00,364.00,"11,617","4,142,310.00"
46,2018/10/14,357.00,2,358.00,350.00,352.00,"12,769","4,518,300.00"
47,2018/10/11,350.00,0.86,352.00,346.00,349.00,"10,534","3,684,790.00"
48,2018/10/10,347.00,0,348.00,345.00,347.00,"6,502","2,251,600.00"
49,2018/10/09,347.00,-0.57,350.00,347.00,350.00,"9,551","3,329,450.00"
50,2018/10/08,349.00,1.45,357.00,344.00,344.00,"9,581","3,332,670.00"
51,2018/10/07,344.00,-1.15,348.00,344.00,345.00,"10,164","3,510,500.00"
52,2018/10/04,348.00,0.29,350.00,345.00,350.00,"15,025","5,220,910.00"
53,2018/10/03,347.00,-1.7,354.00,347.00,352.00,"28,516","9,964,260.00"
54,2018/10/02,353.00,0.28,358.00,352.00,352.00,"12,983","4,605,480.00"
55,2018/10/01,352.00,-2.49,362.00,352.00,358.00,"21,976","7,847,500.00"
56,2018/09/30,361.00,-1.1,366.00,361.00,362.00,"11,183","4,056,020.00"
57,2018/09/27,365.00,0,370.00,365.00,365.00,"14,911","5,477,300.00"
58,2018/09/26,365.00,-1.62,375.00,364.00,372.00,"18,655","6,883,800.00"
59,2018/09/25,370.00,2.49,373.00,361.00,361.00,"44,925","16,546,100.00"
60,2018/09/23,361.00,0.56,364.00,357.00,364.00,"19,281","6,965,780.00"
61,2018/09/20,359.00,0,364.00,352.00,352.00,"9,880","3,560,230.00"
62,2018/09/18,359.00,-0.28,362.00,357.00,358.00,"9,249","3,326,120.00"
63,2018/09/17,360.00,-1.91,370.00,359.00,367.00,"21,307","7,702,270.00"
64,2018/09/16,367.00,2.23,377.00,356.00,360.00,"53,133","19,495,800.00"
65,2018/09/13,352.00,1.99,359.00,351.00,352.00,"20,006","7,079,800.00"
66,2018/09/12,351.00,2.03,355.00,345.00,345.00,"12,667","4,433,730.00"
67,2018/09/11,345.00,0.88,350.00,340.00,340.00,"4,778","1,658,010.00"
68,2018/09/10,342.00,-1.16,346.00,340.00,346.00,"4,112","1,413,270.00"
69,2018/09/09,346.00,-1.7,353.00,346.00,353.00,"7,740","2,699,030.00"
70,2018/09/06,352.00,-1.12,368.00,350.00,360.00,"33,936","12,121,000.00"
71,2018/09/05,356.00,3.49,362.00,341.00,341.00,"29,704","10,487,600.00"
72,2018/09/04,345.00,0.58,347.00,340.00,340.00,"17,187","5,922,670.00"
73,2018/09/03,343.00,0.59,347.00,336.00,336.00,"15,425","5,299,790.00"
74,2018/09/02,339.00,1.8,340.00,333.00,333.00,"9,661","3,250,840.00"
75,2018/08/30,334.00,0.91,335.00,331.00,331.00,"9,985","3,324,680.00"
76,2018/08/29,331.00,-0.6,334.00,330.00,334.00,"6,392","2,115,840.00"
77,2018/08/28,333.00,0,335.00,330.00,333.00,"7,354","2,441,000.00"
78,2018/08/26,333.00,-0.6,337.00,330.00,335.00,"3,588","1,191,500.00"
79,2018/08/23,335.00,-2.62,338.00,333.00,338.00,"7,504","2,509,990.00"
80,2018/08/22,344.00,3.3,344.00,331.00,335.00,"3,613","1,202,040.00"
81,2018/08/21,333.00,-0.6,335.00,331.00,335.00,"8,787","2,926,570.00"
82,2018/08/20,335.00,-0.89,340.00,332.00,340.00,"14,359","4,793,040.00"
83,2018/08/19,338.00,-0.59,344.00,338.00,344.00,"21,370","7,262,350.00"
